ENTITY_NAME	ATTRIBUTE_NAME	DOMAIN_NAME	#	Module	A/B/ID/RL/AS	CC/BIE	Business Term	Card.	Dictionary Entry Name	Object Class Term Qualifier	Object Class Term	Property Term Qualifier	Property Term	Datatype Qualifiry	Representation Term	Associate Object Class Term Qualifier	Associate Object Class Term	Relation Object Class Term Qualifier	Relation Object Class Term	DESCRIPTION
			193	1.Core	AS	CC	[Specified] [Object Class]	0..1	Accounting Account. [Specified]. [Object Class]		Accounting Account		[Specified]				[Object Class]			A [Specified] [Object Class] for this accounting sub account.
			194	1.Core	A	CC	List		List. Detail. 		List		Detail							A list.
			195	1.Core	RL	CC	Parent ID	0..1	List. Parent. List		List		Parent						List	A specified reference identifier of this list item.
			196	1.Core	ID	CC	List ID	1..1	List. ID		List		Identification		Identifier					A unique identifier for this list.
			197	1.Core	B	CC	Name	0..1	List. Name. Name		List		Name		Name					"A name, expressed as text, of this list item."
			198	1.Core	B	CC	Description	0..1	List. Description. Text		List		Description		Text					"A description, expressed as text, of this list item."
			199	1.Core	B	CC	[Specified] Amount	0..1	List. [Specified]. Amount		List		[Specified]		Amount					A [Specified] code of this list item.
			200	1.Core	B	CC	[Specified] Code	0..1	List. [Specified]. Code		List		[Specified]		Code					A [Specified] code of this list item.
			201	1.Core	B	CC	[Specified] Text	0..1	List. [Specified]. Text		List		[Specified]		Text					A [Specified] text of this list item.
			202	1.Core	B	CC	[Specified] Date	0..1	List. [Specified]. Date		List		[Specified]		Date					A [Specified] date of this list item.
			203	1.Core	B	CC	[Specified] Quantity	0..1	List. [Specified]. Quantity		List		[Specified]		Quantity					A [Specified] quantity of this list item.
			204	1.Core	B	CC	[Specified] Number	0..1	List. [Specified]. Numeric		List		[Specified]		Numeric					A [Specified] number of this list item.
			205	1.Core	B	CC	[Specified] Percentage	0..1	List. [Specified]. Numeric		List		[Specified]		Numeric					A [Specified] percentage of this list item.
			206	1.Core	RL	CC	[Referenced Class] ID	0..1	List. [Specified]. [Referenced Class]		List		[Specified]						[Referenced Class]	A specified reference identifier of this list item.
			207	1.Core	A	CC	Code		Code. Detail. 		Code		Detail							
			208	1.Core	RL	CC	Parent Code	0..1	Code. Parent. Code		Code		Parent						Code	The reference identifier for the parent code
			209	1.Core	ID	CC	Code	1..1	Code. ID		Code		Identification		Identifier					The unique identifier for the Code
			210	1.Core	B	CC	[Specified] Code	0..1	Code. [Specified]. Name		Code		[Specified]		Name					The [Specified] Name for the Code
			211	1.Core	B	CC	[Specified] Name	0..1	Code. [Specified]. Indicator		Code		[Specified]		Indicator					The [Specified] Indicator for the Code
			212	1.Core	B	CC	[Specified] Flag	0..1	Code. [Specified]. Identifier		Code		[Specified]		Identifier					The [Specified] Identifier for the Code
			213	1.Core	RL	CC	[Specified] [Object Class]	0..1	Code. [Specified]. [Object Class]		Code		[Specified]						[Object Class]	The reference identifier for [Specified] [Object Class]
CONTRACT			214	1.Core	A	CC	Contract		Contract. Detail. 		Contract 		Detail							Contains information about a contract.
CONTRACT		IDENTIFIER 60	215	1.Core	ID	CC	Contract ID	0..1	Contract. ID		Contract 		Identification		Identifier					The unique identifier for the contract.
CONTRACT		TEXT 80	216	1.Core	B	CC	Number	0..1	Contract. Contract Number. Text		Contract 		Contract Number		Text					The number of the contract. This number is generated either by manual input or generated by the system.
CONTRACT	CONTRACT TYPE NAME	TEXT 80	217	1.Core	B	CC	Type Name	0..1	Contract. Type Name. Name		Contract 		Type Name		Name					"The name of contract type used in sales or purchase activities; for example, framework agreement, short-term contract."
CONTRACT	CONTRACT BEGINNING DATE	DATE	218	1.Core	B	CC	Beginning Date	0..1	Contract. Beginning. Date		Contract 		Beginning		Date					The beginning date of the contract.
CONTRACT	CONTRACT ENDING DATE	DATE	219	1.Core	B	CC	Ending Date	0..1	Contract. Ending. Date		Contract 		Ending		Date					The ending date of the contract.
CONTRACT	CUSTOMER ACCOUNT ID	IDENTIFIER 100	220	1.Core	RL	CC	Customer Account ID	0..1	Contract. Related. Customer_ Party		Contract 		Related					Customer	Party	The reference identifier for the receiving customer. Typically autogenerated by the system. 
CONTRACT	SALES ORGANIZATION CODE	IDENTIFIER 25	221	1.Core	RL	CC	Sales Organization Code	0..1	Contract. Sales Organization. Business Segment_ List		Contract 		Sales Organization					Business Segment	List	The reference code of the sales organization which signed the contract. 
CONTRACT	SALESPERSON ID	IDENTIFIER 60	222	1.Core	RL	CC	Salesperson ID	0..1	Contract. Recorded. Salesperson_ Employee		Contract 		Recorded					Salesperson	Employee	The reference identifier for the salesperson. 
CONTRACT	SUPPLIER ACCOUNT ID	IDENTIFIER 100	223	1.Core	RL	CC	Supplier Account ID	0..1	Contract. Recorded. Supplier_ Party		Contract 		Recorded					Supplier	Party	The reference identifier for the supplier account in the purchase contract. 
CONTRACT	PURCHASE ORGANIZATION CODE	IDENTIFIER 25	224	1.Core	RL	CC	Purchase Organization Code	0..1	Contract. Purchase Organization. Business Segment_ List		Contract 		Purchase Organization					Business Segment	List	The reference code of the purchase organization which signed the contract. 
CONTRACT	PURCHASER ID	IDENTIFIER 60	225	1.Core	RL	CC	Purchaser ID	0..1	Contract. Recorded. Purchaser_ Employee		Contract 		Recorded					Purchaser	Employee	The code of the person who is responsible for purchase contracts. 
CONTRACT	SETTLEMENT METHOD CODE	IDENTIFIER 60	226	1.Core	RL	CC	Settlement Method Code	0..1	Contract. Recorded. Settlement Method_ List		Contract 		Recorded					Settlement Method	List	The code value or indicator of the method by which the transaction (i.e. the debit or credit amount) amount was extinguished or apportioned to the debt by the customer or the supplier. 
CONTRACT	PAYMENT TERM CODE	PAYMENT TERM CODE	227	1.Core	RL	CC	Payment Term Code	0..1	Contract. Recorded. Payment Term_ List		Contract 		Recorded					Payment Term	List	The code of the payment term. 
CONTRACT	CONTRACT TRANSACTION CUR CODE	CURRENCY CODE	228	1.Core	RL	CC	Transaction Currency Code	0..1	Contract. Recorded. Currency_ List		Contract 		Recorded					Currency	List	The transactional currency specified in the contract (ISO 4217). 
CONTRACT	STATUS	STATUS CODE	229	1.Core	B	CC	Status	0..1	Contract. Status. Code		Contract 		Status		Code					"The status of the contract; for example, new, save, submit and frozen."
CONTRACT	REMARK	TEXT 500	230	1.Core	B	CC	Remark	0..1	Contract. Remark. Text		Contract 		Remark		Text					Freeform text description.
			231	1.Core	AS	CC	[Specified] Handling	1..n	Contract. Recorded. [Specified]_ Handling		Contract 		Recorded			[Specified]	Handling			
CONTRACT	BUSINESS SEGMENT X	TEXT 25	232	1.Core	RL	CC	Business Segment X	0..1	Contract. X. Business Segment_ List		Contract 		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."
CONTRACT DETAILS	CONTRACT DETAILS		233	1.Core	A	CC	Contract Line		Contract Line. Detail. 		Contract Line 		Detail							Contains line item details for a contract.
CONTRACT DETAILS	CONTRACT ID	IDENTIFIER 60	234	1.Core	RL	CC	Contract ID	0..1	Contract Line. Header. Contract		Contract Line 		Header						Contract	The reference identifier for the contract. 
CONTRACT DETAILS	CONTRACT LINE ID	IDENTIFIER 60	235	1.Core	ID	CC	Contract Line ID	0..1	Contract Line. ID		Contract Line 		Identification		Identifier					The reference identifier for a contract line.
CONTRACT DETAILS	CONTRACT LINE NUMBER	TEXT 10	236	1.Core	B	CC	Line Number	0..1	Contract Line. Contract Line Number. Text		Contract Line 		Contract Line Number		Text					"The number of a contract line. The number is usually generated by manual input or is system generated; for example, including contract ID, date and serial number."
CONTRACT DETAILS	DISPATCH ORGANIZATION CODE	IDENTIFIER 25	237	1.Core	RL	CC	Dispatch Organization Code	0..1	Contract Line. Dispatch Organization. Business Segment_ List		Contract Line 		Dispatch Organization					Business Segment	List	The unique code of the dispatch organization. The dispatch unit refers to the unit who send out goods belonging to the seller. 
CONTRACT DETAILS	RECEIPT ORGANIZATION CODE	IDENTIFIER 25	238	1.Core	RL	CC	Receipt Organization Code	0..1	Contract Line. Receipt Organization. Business Segment_ List		Contract Line 		Receipt Organization					Business Segment	List	"The unique code of the receiving materials organization (Receiving organization, can be different from the settlement organization). The organization receiving materials may be a warehouse or an administration organization. "
CONTRACT DETAILS	SETTLEMENT ORGANIZATION CODE	IDENTIFIER 25	239	1.Core	RL	CC	Settlement Organization Code	0..1	Contract Line. Settlement Organization. Business Segment_ List		Contract Line 		Settlement Organization					Business Segment	List	"The unique code of the settlement organization. Both parties have settlement unit code, which is used to identify an organization for sales order settlement. "
CONTRACT DETAILS	PRODUCT ID	IDENTIFIER 75	240	1.Core	RL	CC	Product ID	0..1	Contract Line. Specified. Inventory Product_ List		Contract Line 		Specified					Inventory Product	List	The unique identifier for the product. 
CONTRACT DETAILS	CONTRACT QUANTITY	QUANTITY	241	1.Core	B	CC	Contract Quantity	0..1	Contract Line. Contract Quantity. Quantity		Contract Line 		Contract Quantity		Quantity					The quantity of the product in the contract.
CONTRACT DETAILS	UOM CODE	MEASUREMENT UNIT CODE	242	1.Core	B	CC	UOM Code	0..1	Contract Line. Defined. (Component of Quantity)		Contract Line 		Defined		(Component of Quantity)					The code of the measurement unit for the product. 
CONTRACT DETAILS	TAX EXCLUDE UNIT PRICE	PRICE	243	1.Core	B	CC	Tax Exclude Unit Price	0..1	Contract Line. Tax Exclude Unit Price. Transaction_ Amount		Contract Line 		Tax Exclude Unit Price	Transaction	Amount					The unit price (excluding tax) in transaction currency.
CONTRACT DETAILS	TAX INCLUDE UNIT PRICE	PRICE	244	1.Core	B	CC	Tax Include Unit Price	0..1	Contract Line. Tax Include Unit Price. Transaction_ Amount		Contract Line 		Tax Include Unit Price	Transaction	Amount					The unit price (including tax) in transaction currency.
CONTRACT DETAILS	TAX EXCLUDE AMOUNT	AMOUNT	245	1.Core	B	CC	Tax Exclude Amount	0..1	Contract Line. Tax Exclude Amount. Transaction_ Amount		Contract Line 		Tax Exclude Amount	Transaction	Amount					The amount (excluding tax) in transaction currency.
CONTRACT DETAILS	TAX INCLUDE AMOUNT	AMOUNT	246	1.Core	B	CC	Tax Include Amount	0..1	Contract Line. Tax Include Amount. Transaction_ Amount		Contract Line 		Tax Include Amount	Transaction	Amount					The amount (including tax) in transaction currency.
CONTRACT DETAILS	DUE DATE	DATE	247	1.Core	B	CC	Due Date	0..1	Contract Line. Due. Date		Contract Line 		Due		Date					"The last requested delivery of products; for example, when an order is delivered in multiple batches, this field refers to the time for the delivery of the last batch."
CONTRACT DETAILS	TAX		248	1.Core	AS	CC	Tax	1..n	Contract Line. Charged. Tax_ List		Contract Line 		Charged			Tax	List			The charged tax
CONTRACT DETAILS	STATUS	STATUS CODE	249	1.Core	B	CC	Status	0..1	Contract Line. Status. Code		Contract Line 		Status		Code					"The status of the contract; for example, new, save, submit and frozen."
CONTRACT DETAILS	BUSINESS SEGMENT X	TEXT 25	250	1.Core	RL	CC	Business Segment X	0..1	Contract Line. X. Business Segment_ List		Contract Line 		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."
ORDER	ORDER		251	1.Core	A	CC	Order		Order. Detail. 		Order 		Detail							Contains summary information of orders.
ORDER	ORDER ID	IDENTIFIER 100	252	1.Core	ID	CC	Order ID	1..1	Order. ID		Order 		Identification		Identifier					The unique identifier for the order.
ORDER	ORDER NUMBER	IDENTIFIER 100	253	1.Core	B	CC	Number	1..1	Order. Number. Identifier		Order 		Number		Identifier					The number of the order. This number is generated either by manual input or generated by the system.
			254	1.Core	RL	CC	Fiscal Period	1..1	Order. Defined. Fiscal Period		Order 		Defined						Fiscal Period	The reference identifier for fiscal period
ORDER	ORDER TYPE NAME	TEXT 80	255	1.Core	B	CC	Type Name	1..1	Order. Type Name. Name		Order 		Type Name		Name					"The name of the order in sales activities. The types of orders are usually allocated by users of the system according to different business needs; for example, some enterprises will be configured as non contract orders, trial orders, factory orders and store orders."
